11:Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
10:Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
9:Split,Split,Split,Split,Split,Stand,Split,Split,Stand,Stand
8:Split,Split,Split,Split,Split,Split,Split,Split,Split,Split
7:Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
6:Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit,Hit
5:Double,Double,Double,Double,Double,Double,Double,Double,Hit,Hit
4:Hit,Hit,Hit,Split,Split,Hit,Hit,Hit,Hit,Hit
3:Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
2:Split,Split,Split,Split,Split,Split,Hit,Hit,Hit,Hit
